,gibbs,temperature,name
1020,1.6,59.0,Alpha-lactalbumin
1021,0.0,59.0,Alpha-lactalbumin
1022,0.0,59.0,Alpha-lactalbumin
1184,5.06,40.0,Guanyl-specific ribonuclease T1n
1185,1.26,40.0,Guanyl-specific ribonuclease T1n
1186,2.48,40.0,Guanyl-specific ribonuclease T1n
1187,0.19,40.0,Guanyl-specific ribonuclease T1n
1188,2.21,40.0,Guanyl-specific ribonuclease T1n
1189,3.03,40.0,Guanyl-specific ribonuclease T1n
1190,1.56,40.0,Guanyl-specific ribonuclease T1n
1191,4.62,40.0,Guanyl-specific ribonuclease T1n
1192,4.63,40.0,Guanyl-specific ribonuclease T1n
1193,2.07,40.0,Guanyl-specific ribonuclease T1n
1194,0.26,40.0,Guanyl-specific ribonuclease T1n
1195,4.26,40.0,Guanyl-specific ribonuclease T1n
1196,0.69,40.0,Guanyl-specific ribonuclease T1n
1197,4.98,40.0,Guanyl-specific ribonuclease T1n
1198,2.21,40.0,Guanyl-specific ribonuclease T1n
1199,0.86,40.0,Guanyl-specific ribonuclease T1n
1200,4.63,40.0,Guanyl-specific ribonuclease T1n
1201,4.39,40.0,Guanyl-specific ribonuclease T1n
1202,3.87,40.0,Guanyl-specific ribonuclease T1n
1203,3.14,40.0,Guanyl-specific ribonuclease T1n
1204,2.28,40.0,Guanyl-specific ribonuclease T1n
1205,3.27,40.0,Guanyl-specific ribonuclease T1n
1206,2.86,40.0,Guanyl-specific ribonuclease T1n
1207,3.97,40.0,Guanyl-specific ribonuclease T1n
1208,3.11,40.0,Guanyl-specific ribonuclease T1n
1209,2.69,40.0,Guanyl-specific ribonuclease T1n
1210,3.76,40.0,Guanyl-specific ribonuclease T1n
1211,4.36,40.0,Guanyl-specific ribonuclease T1n
1212,4.62,40.0,Guanyl-specific ribonuclease T1n
1273,4.3,35.0,CYP175A1
1295,5.74,29.0,CYP175A1
1301,10.3,27.0,Lysozyme
1302,9.99,27.0,Lysozyme
1303,10.01,27.0,Lysozyme
1304,9.58,27.0,Lysozyme
1305,9.87,27.0,Lysozyme
1306,9.32,27.0,Lysozyme
1307,9.01,27.0,Lysozyme
1308,12.4,27.0,Lysozyme
1309,11.85,27.0,Lysozyme
1310,11.64,27.0,Lysozyme
1311,11.76,27.0,Lysozyme
1312,11.21,27.0,Lysozyme
1313,10.68,27.0,Lysozyme
1314,1.24,27.0,Albumin
1315,2.84,27.0,Albumin
1316,1.24,27.0,Albumin
1317,0.26,27.0,Albumin
1318,7.46,27.0,Albumin
1319,7.05,27.0,Albumin
1320,6.19,27.0,Albumin
1321,5.02,27.0,Albumin
1322,4.33,27.0,Albumin
1352,3.42,25.0,Alpha-lactalbumin
1353,3.39,25.0,Alpha-lactalbumin
1354,3.1,25.0,Alpha-lactalbumin
1355,2.53,25.0,Alpha-lactalbumin
1356,2.0,25.0,Alpha-lactalbumin
1357,1.62,25.0,Alpha-lactalbumin
1358,1.65,25.0,Alpha-lactalbumin
1359,4.05,25.0,Alpha-lactalbumin
1360,4.48,25.0,Alpha-lactalbumin
1361,4.82,25.0,Alpha-lactalbumin
1362,5.02,25.0,Alpha-lactalbumin
1363,5.0,25.0,Alpha-lactalbumin
1364,3.79,25.0,Alpha-lactalbumin
1365,4.13,25.0,Alpha-lactalbumin
1366,4.57,25.0,Alpha-lactalbumin
1367,5.04,25.0,Alpha-lactalbumin
1368,5.06,25.0,Alpha-lactalbumin
1369,3.35,25.0,Alpha-lactalbumin
1370,3.42,25.0,Alpha-lactalbumin
1371,3.46,25.0,Alpha-lactalbumin
1372,3.38,25.0,Alpha-lactalbumin
1373,3.4,25.0,Alpha-lactalbumin
1374,3.49,25.0,Alpha-lactalbumin
1375,3.26,25.0,Alpha-lactalbumin
1376,3.33,25.0,Alpha-lactalbumin
1377,3.7,25.0,Alpha-lactalbumin
1378,3.67,25.0,Alpha-lactalbumin
1379,13.19,25.0,Lysozyme
1380,13.22,25.0,Lysozyme
1381,12.56,25.0,Lysozyme
1382,11.79,25.0,Lysozyme
1383,11.21,25.0,Lysozyme
1384,10.74,25.0,Lysozyme
1385,10.78,25.0,Lysozyme
1386,13.87,25.0,Lysozyme
1387,14.43,25.0,Lysozyme
1388,15.19,25.0,Lysozyme
1389,15.55,25.0,Lysozyme
1390,15.52,25.0,Lysozyme
1391,13.71,25.0,Lysozyme
1392,14.43,25.0,Lysozyme
1393,15.0,25.0,Lysozyme
1394,15.53,25.0,Lysozyme
1395,15.49,25.0,Lysozyme
1396,12.93,25.0,Lysozyme
1397,12.71,25.0,Lysozyme
1398,12.0,25.0,Lysozyme
1399,11.61,25.0,Lysozyme
1400,11.64,25.0,Lysozyme
1401,12.81,25.0,Lysozyme
1402,12.76,25.0,Lysozyme
1403,11.9,25.0,Lysozyme
1404,11.54,25.0,Lysozyme
1405,11.58,25.0,Lysozyme
1406,9.59,25.0,Guanyl-specific ribonuclease T1n
1407,9.57,25.0,Guanyl-specific ribonuclease T1n
1408,9.44,25.0,Guanyl-specific ribonuclease T1n
1409,8.3,25.0,Guanyl-specific ribonuclease T1n
1410,7.6,25.0,Guanyl-specific ribonuclease T1n
1411,6.96,25.0,Guanyl-specific ribonuclease T1n
1412,6.99,25.0,Guanyl-specific ribonuclease T1n
1413,10.06,25.0,Guanyl-specific ribonuclease T1n
1414,10.53,25.0,Guanyl-specific ribonuclease T1n
1415,10.94,25.0,Guanyl-specific ribonuclease T1n
1416,11.47,25.0,Guanyl-specific ribonuclease T1n
1417,11.5,25.0,Guanyl-specific ribonuclease T1n
1418,10.24,25.0,Guanyl-specific ribonuclease T1n
1419,10.69,25.0,Guanyl-specific ribonuclease T1n
